ts,o,h,l,c,oi,vix,oi_change,ema_20,dist_from_ema,rsi,std_20,bb_upper,bb_lower,bb_width,oi_ma,oi_slope,price_change,sentiment_score,future_high,future_low,target
2026-01-29 14:15:00+05:30,25413.3,25431.0,25398.65,25430.95,17762095,13.38,61165.0,25324.88337906115,0.004188237290227676,81.67926652726311,80.52560625749722,25485.934591576144,25163.832166546155,0.012718811779260002,17679610.0,0.004665544092884402,0.0007102691939919747,1,25458.15,25398.65,0
2026-01-29 14:30:00+05:30,25431.15,25454.7,25430.65,25440.25,17709185,13.52,-52910.0,25335.870676293423,0.004119823827654893,80.78285810696725,84.67319415960891,25505.21706461264,25166.524287974207,0.013368112782298996,17692636.0,0.0009353609038246194,0.0003656961301090611,0,25458.15,25405.1,0
2026-01-29 14:45:00+05:30,25439.7,25458.15,25429.95,25434.8,17742335,13.46,33150.0,25345.29251664643,0.003531522995632497,77.80938833570295,84.7847893196717,25514.862095285775,25175.722938007086,0.013380755304202822,17711876.0,0.0017196936112244688,-0.00021422745452581715,-1,25458.15,25224.35,0
2026-01-29 15:00:00+05:30,25436.95,25445.9,25407.6,25407.6,17797195,13.41,54860.0,25351.2265626801,0.0022236966397075593,73.06729003172384,83.48190550073963,25518.19037368158,25184.262751678623,0.01317204992734105,17742348.0,0.003091304487996741,-0.001069400978187418,-1,25445.9,25218.95,0
2026-01-29 15:15:00+05:30,25407.65,25431.65,25405.1,25422.1,17888975,13.33,91780.0,25357.976413853423,0.0025287343556145933,76.9205407187596,80.16336654300925,25518.30314693944,25197.649680767405,0.0126450731296074,17779957.0,0.006131510891730503,0.0005706953824839989,1,25431.65,25218.95,0
2026-01-30 09:15:00+05:30,25247.55,25285.95,25224.35,25242.0,17932850,13.79,43875.0,25346.93104110548,-0.004139792740009085,45.80127857839424,75.88964334537341,25498.710327796227,25195.151754414732,0.011976147048698314,17814108.0,0.006665615814162573,-0.007084387206406917,-1,25323.15,25218.95,1
2026-01-30 09:30:00+05:30,25242.5,25308.8,25218.95,25292.25,17999475,13.7,66625.0,25341.723322904956,-0.0019522477723620318,50.719211822660014,72.69251373157012,25487.108350368097,25196.338295441816,0.01147396533460967,17872166.0,0.007123311186791797,0.0019907297361541065,1,25323.15,25218.95,0
2026-01-30 09:45:00+05:30,25291.75,25323.15,25274.35,25283.4,18040815,13.83,41340.0,25336.168720723534,-0.0020827427108334015,50.087565674255835,71.34370680013065,25478.856134323796,25193.48130712327,0.011263535159801205,17931862.0,0.006075944595156933,-0.0003499095572754296,-1,25323.15,25266.45,0
2026-01-30 10:00:00+05:30,25283.95,25315.95,25266.45,25314.3,18063890,13.73,23075.0,25334.085985416532,-0.0007810025365794671,49.25816023738872,70.06410673529432,25474.21419888712,25193.957771945945,0.011062425030944581,17985201.0,0.004375208261503444,0.001222145755713111,1,25319.65,25266.45,0
2026-01-30 10:15:00+05:30,25315.8,25319.65,25268.95,25279.6,18098275,13.85,34385.0,25328.89684394829,-0.0019462688901142745,42.71663224156555,69.52173812809635,25467.94032020448,25189.853367692096,0.010979039246189173,18027061.0,0.003950394354354268,-0.0013707667207862873,-1,25319.65,25247.1,0
2026-01-30 10:30:00+05:30,25279.95,25311.6,25273.45,25302.1,18112835,13.74,14560.0,25326.344763572262,-0.0009572942245947716,46.62904951843549,67.31434013745678,25460.973443847175,25191.71608329735,0.01063151287970728,18063058.0,0.00275573493701897,0.0008900457285716534,1,25312.65,25244.0,0
2026-01-30 10:45:00+05:30,25301.05,25312.65,25284.3,25302.05,18122390,13.71,9555.0,25324.03097656538,-0.000867988851605885,38.79531511433334,66.3593710411981,25456.749718647778,25191.312234482983,0.010481644269446217,18087641.0,0.001921146046629298,-1.976120559188388e-06,-1,25312.65,25232.0,0
2026-01-30 11:00:00+05:30,25302.4,25309.2,25247.1,25255.45,18129345,13.85,6955.0,25317.499454987723,-0.00245085242711432,31.19305391789011,68.15833978962549,25453.816134566972,25181.182775408473,0.010768573714920661,18105347.0,0.0013254647922517034,-0.0018417480006560627,-1,25309.2,25232.0,0
2026-01-30 11:15:00+05:30,25255.35,25282.85,25244.0,25258.95,18173350,13.9,44005.0,25311.923316417466,-0.002092820674085487,32.96824870007711,69.52808425365404,25450.979484924774,25172.867147910158,0.010987404376111978,18127239.0,0.002543740941463838,0.0001385839492069607,1,25294.85,25232.0,0
2026-01-30 11:30:00+05:30,25257.55,25280.35,25232.0,25272.45,18197595,13.85,24245.0,25308.163952949137,-0.0014111633311500768,32.286544479213006,71.29344377278352,25450.750840494704,25165.57706540357,0.011268054672844146,18147103.0,0.0027823724811613182,0.0005344640216635721,1,25316.6,25232.0,0
2026-01-30 11:45:00+05:30,25271.85,25294.0,25256.3,25261.4,18215535,13.93,17940.0,25303.710243144455,-0.0016720964134465718,30.090170321718716,73.56697467709698,25450.844192498647,25156.576293790262,0.011629436785386508,18167643.0,0.0026361152076799397,-0.00043723501283010613,-1,25316.6,25248.85,0
2026-01-30 12:00:00+05:30,25262.0,25294.85,25248.85,25294.7,18235165,13.77,19630.0,25302.852124749745,-0.00032218204926274055,35.31446540880496,74.23655872478452,25451.325242199313,25154.379007300176,0.011735682342651061,18190198.0,0.0024720456588762803,0.0013182167259138122,1,25316.6,25248.85,0
2026-01-30 12:15:00+05:30,25293.65,25316.6,25270.6,25294.05,18204550,13.86,-30615.0,25302.013827154533,-0.0003147507233588948,37.395937395937295,73.15581712297113,25448.325461400476,25155.70219290859,0.011565216527462284,18205239.0,-3.784624854416907e-05,-2.56970827881009e-05,0,25316.6,25238.5,0
2026-01-30 12:30:00+05:30,25293.8,25309.85,25281.45,25293.55,18239910,13.87,35360.0,25301.207748377914,-0.00030266335323086036,35.273227173788385,69.71011645025462,25440.627981278423,25161.787515477405,0.011020836181976149,18218551.0,0.0011723764420123203,-1.976749472698547e-05,-1,25309.85,25213.65,0
2026-01-30 12:45:00+05:30,25293.7,25303.3,25285.2,25302.65,18261230,13.79,21320.0,25301.345105675256,5.157410877938928e-05,61.42399698625016,66.66455185228173,25434.67420937982,25168.016001970693,0.010539289760895531,18231278.0,0.0016428908604213044,0.000359775515892391,1,25306.5,25213.65,0
2026-01-30 13:00:00+05:30,25303.75,25306.15,25238.5,25247.05,18272085,13.98,10855.0,25296.174143229993,-0.001941959402708374,41.65435745937946,63.02744619342372,25422.22903561684,25170.119250843145,0.009966320730803812,18242588.0,0.0016169306679512797,-0.0021973982962260052,-1,25344.9,25213.65,1
2026-01-30 13:15:00+05:30,25247.4,25247.5,25213.65,25230.5,18372835,14.05,100750.0,25289.919462922375,-0.0023495315202363477,40.50269299820441,57.421267550318355,25404.761998023012,25175.076927821738,0.009082079938531095,18270122.0,0.005621911008585493,-0.0006555221303082837,-1,25370.7,25213.65,1
2026-01-30 13:30:00+05:30,25230.5,25306.5,25229.55,25301.2,18328830,13.7,-44005.0,25290.993799786913,0.00040355077755678623,47.94219289978033,47.82857622726081,25386.650952241434,25195.33664733239,0.00756452302442362,18294978.0,0.0018503438484593969,0.0028021640474822362,0,25370.7,25229.55,0
2026-01-30 13:45:00+05:30,25302.05,25344.9,25284.9,25342.65,18281315,13.77,-47515.0,25295.913437902444,0.0018475933755975622,59.69850792185854,41.40156811142064,25378.716574125287,25213.1103016796,0.0065467599283269146,18303259.0,-0.0011989121718705943,0.0016382622168118477,0,25370.7,25284.9,0
2026-01-30 14:00:00+05:30,25343.8,25370.7,25331.7,25352.45,18292170,13.73,10855.0,25301.297872387924,0.002021719512970141,58.059868736994055,31.390418731469765,25364.078709850863,25238.517034924986,0.004962657471532569,18309447.0,-0.0009436112406890279,0.00038669989129003213,1,25370.7,25302.2,0
2026-01-30 14:15:00+05:30,25353.5,25356.45,25326.35,25336.1,18317390,13.73,25220.0,25304.61236073193,0.0012443438697733273,55.18028297580994,31.478648883103727,25367.569658498138,25241.655062965725,0.004975954333440375,18318508.0,-6.1031171315917214e-05,-0.0006449080858064171,-1,25368.8,25293.3,0
2026-01-30 14:30:00+05:30,25335.45,25350.3,25303.95,25311.6,18317325,13.68,-65.0,25305.27785018603,0.0002498352261293904,59.158375468927844,31.819700120663402,25368.917250427356,25241.638449944705,0.005029733371677443,18307406.0,0.0005418025907111035,-0.0009669996566163963,0,25368.8,25293.3,0
2026-01-30 14:45:00+05:30,25310.15,25368.8,25302.2,25352.45,18345925,13.67,28600.0,25309.770435882598,0.0016862880769907998,63.59406804303542,34.49291260123665,25378.756261085073,25240.784610680123,0.00545131970890351,18310825.0,0.001916898883583891,0.0016138845430555548,1,25368.8,25252.3,0
2026-01-30 15:00:00+05:30,25352.45,25354.2,25293.3,25319.7,18391685,13.62,45760.0,25310.716108655684,0.0003549441788114433,56.50557620817828,34.67045335016611,25380.05701535602,25241.37520195535,0.005479173833143426,18332899.0,0.0032065850578241882,-0.0012917883675936936,-1,25354.2,25252.3,0
2026-01-30 15:15:00+05:30,25321.0,25343.9,25309.6,25315.8,18466110,13.63,74425.0,25311.200288783715,0.00018172631735375835,57.64044943820171,34.73976288030547,25380.679814544324,25241.720763023106,0.005490022201072628,18367687.0,0.005358486346157793,-0.00015403026102212003,-1,25346.85,25252.3,0
